N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.50,202.93,rice
85,58,41,21.77,80.31,7.03,226.65,rice
60,55,44,23.00,82.32,7.84,263.96,rice
74,35,40,26.49,80.15,6.98,242.86,rice
71,54,16,22.61,63.69,5.74,87.75,maize
61,44,17,26.10,71.57,6.93,102.26,maize
80,43,16,23.55,71.59,6.65,66.71,maize
73,58,21,19.97,57.68,6.59,60.65,maize
40,72,77,17.02,16.98,7.48,88.55,chickpea
23,72,84,19.02,17.13,6.92,79.92,chickpea
39,58,85,17.88,15.40,5.99,68.54,chickpea
22,72,85,18.86,15.65,6.39,88.51,chickpea
13,60,25,17.13,20.59,5.68,128.25,kidneybeans
25,70,16,19.63,18.90,5.75,106.35,kidneybeans
31,55,22,22.91,21.33,5.87,109.22,kidneybeans
40,64,16,16.43,24.24,5.92,140.37,kidneybeans
3,24,38,24.55,91.63,5.92,111.96,pomegranate
6,18,37,19.65,89.93,5.93,108.04,pomegranate
8,26,36,18.78,87.40,6.80,102.51,pomegranate
37,18,39,24.14,94.51,6.42,110.23,pomegranate
91,94,46,29.36,76.24,6.14,92.82,banana
105,95,50,27.33,83.67,5.84,101.04,banana
108,92,53,27.40,82.96,6.27,104.93,banana
86,76,54,29.31,80.11,5.92,90.10,banana
2,40,27,29.73,47.54,5.95,90.09,mango
39,24,31,33.55,53.72,4.75,98.67,mango
21,26,27,27.00,47.67,5.69,95.85,mango
25,22,25,33.56,45.53,5.97,95.70,mango
24,130,195,29.99,81.54,6.11,67.12,grapes
13,144,204,30.72,82.42,6.09,68.38,grapes
22,123,205,32.44,83.88,5.89,68.73,grapes
36,125,196,37.46,80.65,6.15,66.83,grapes
119,25,51,26.47,80.92,6.28,53.65,watermelon
119,19,55,25.18,83.44,6.81,46.87,watermelon
105,30,50,25.29,81.77,6.37,57.04,watermelon
114,8,50,24.74,88.30,6.58,57.95,watermelon
115,17,55,27.57,94.11,6.77,28.08,muskmelon
114,27,48,27.82,93.03,6.52,26.32,muskmelon
101,25,52,29.09,94.22,6.75,22.52,muskmelon
118,18,52,28.04,90.83,6.56,20.76,muskmelon
24,128,196,22.75,90.69,5.52,110.43,apple
7,144,197,23.84,94.34,6.13,114.05,apple
14,128,205,22.60,94.58,6.22,116.03,apple
8,120,201,21.18,91.13,6.32,122.23,apple
22,30,12,15.78,92.51,6.35,119.03,orange
37,6,13,26.03,91.50,7.51,101.28,orange
27,13,6,13.36,91.35,7.33,111.22,orange
7,16,9,18.87,92.04,7.81,114.66,orange
61,68,50,35.21,91.49,6.79,243.07,papaya
58,46,45,42.39,90.79,6.57,88.46,papaya
45,47,55,38.41,91.14,6.75,119.26,papaya
39,65,53,35.33,92.11,6.56,235.61,papaya
18,30,29,26.76,92.86,6.42,224.59,coconut
37,23,28,25.61,94.31,5.74,224.32,coconut
13,28,33,28.13,95.64,5.68,151.07,coconut
2,21,35,25.02,91.53,6.29,179.82,coconut
133,47,24,24.40,79.19,7.23,90.80,cotton
136,36,20,23.09,84.86,6.92,71.29,cotton
104,47,18,23.96,76.97,7.63,90.75,cotton
133,47,23,24.88,75.62,6.82,89.76,cotton
89,47,38,25.52,72.24,6.00,151.88,jute
60,37,39,26.59,82.94,6.03,161.24,jute
63,41,45,25.29,86.88,7.12,196.62,jute
86,40,39,25.72,88.16,6.20,175.60,jute
32,76,15,28.05,63.49,7.60,43.35,lentil
13,61,22,19.44,63.27,7.72,46.83,lentil
38,60,20,29.84,60.63,7.49,46.80,lentil
11,74,17,21.36,69.92,6.63,46.63,lentil
91,21,26,26.33,57.36,7.26,191.65,coffee
107,21,26,26.45,55.32,7.23,144.68,coffee
83,38,35,25.70,52.88,7.18,136.73,coffee
108,24,31,24.12,56.18,6.43,147.27,coffee
